country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,year,month,day,hour,day_name,pollutant_range,pollution_category
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",,16.5150833,80.5181667,PM2.5,8.0,69.0,28.0,,,,,,,61.0,Good
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",,16.5150833,80.5181667,OZONE,10.0,88.0,62.0,,,,,,,78.0,Unknown
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,PM2.5,55.0,134.0,64.0,,,,,,,79.0,Moderate
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",,13.20488,79.097889,NH3,5.0,7.0,5.0,,,,,,,2.0,Unknown
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",,16.711754,81.092095,NO2,6.0,26.0,12.0,,,,,,,20.0,Unknown
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",,16.711754,81.092095,NH3,1.0,2.0,1.0,,,,,,,1.0,Unknown
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",,25.560083,87.553265,PM2.5,,,,,,,,,,,Unknown
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",,25.560083,87.553265,CO,62.0,98.0,78.0,,,,,,,36.0,Unknown
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",,27.308328,84.531742,OZONE,8.0,13.0,10.0,,,,,,,5.0,Unknown
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",,26.63086,84.90051,PM2.5,53.0,318.0,132.0,,,,,,,265.0,Very Poor
India,Bihar,Munger,"Town Hall, Munger - BSPCB",,25.376776,86.471523,PM10,39.0,109.0,70.0,,,,,,,70.0,Satisfactory
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",,26.1209,85.3647,PM2.5,70.0,112.0,86.0,,,,,,,42.0,Moderate
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",,25.586562,85.043586,PM10,105.0,402.0,182.0,,,,,,,297.0,Moderate
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",,25.586562,85.043586,NO2,34.0,42.0,38.0,,,,,,,8.0,Unknown
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",,25.592539,85.227158,PM10,120.0,346.0,206.0,,,,,,,226.0,Moderate
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",,26.80365,84.51954,CO,19.0,70.0,27.0,,,,,,,51.0,Unknown
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",,25.251013,86.989001,PM10,65.0,188.0,106.0,,,,,,,123.0,Moderate
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",,25.251013,86.989001,NH3,1.0,1.0,1.0,,,,,,,0.0,Unknown
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",,25.251013,86.989001,SO2,30.0,102.0,69.0,,,,,,,72.0,Unknown
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",,26.146529,87.454184,SO2,36.0,64.0,48.0,,,,,,,28.0,Unknown
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",,26.146529,87.454184,OZONE,10.0,11.0,10.0,,,,,,,1.0,Unknown
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",,25.5626095,84.663264,PM10,24.0,153.0,77.0,,,,,,,129.0,Satisfactory
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",,25.892357,86.590325,SO2,16.0,20.0,18.0,,,,,,,4.0,Unknown
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",,25.892357,86.590325,OZONE,10.0,51.0,41.0,,,,,,,41.0,Unknown
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",,25.859655,85.77944,OZONE,7.0,10.0,8.0,,,,,,,3.0,Unknown
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,PM2.5,16.0,64.0,36.0,,,,,,,48.0,Satisfactory
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,PM10,68.0,146.0,99.0,,,,,,,78.0,Satisfactory
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,NO2,1.0,8.0,3.0,,,,,,,7.0,Unknown
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,SO2,,,,,,,,,,,Unknown
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,OZONE,12.0,25.0,18.0,,,,,,,13.0,Unknown
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",,26.2271665,84.3570427,PM2.5,47.0,117.0,64.0,,,,,,,70.0,Moderate
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",,26.2271665,84.3570427,SO2,4.0,8.0,7.0,,,,,,,4.0,Unknown
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",,30.735567,76.775714,PM2.5,23.0,88.0,55.0,,,,,,,65.0,Satisfactory
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",,30.735567,76.775714,PM10,58.0,147.0,95.0,,,,,,,89.0,Satisfactory
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",,30.751462,76.762879,NO2,,,,,,,,,,,Unknown
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",,30.751462,76.762879,CO,4.0,12.0,8.0,,,,,,,8.0,Unknown
